dataset	schedule	objective	beta_1	alpha_bar_T	nll_bpd	fid	nll_samples	fid_samples	sampling_steps	source
cifar10	tuned_balanced	vlb	3e-5	1e-3	3.023753	11.316232	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_fid	simple	3e-3	1e-2	23.078684	5.042053	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_fid	hybrid	3e-3	1e-2	4.325410	5.583151	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
cifar10	tuned_fid	vlb	3e-3	1e-2	4.460992	11.006580	10000	50000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	linear	simple			3.521594	30.746197	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_simple
imagenet64	linear	hybrid			3.397859	30.158692	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_hybrid
imagenet64	linear	vlb			3.341491	41.212610	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_linear_vlb
imagenet64	cosine	simple			3.440620	27.780287	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_simple
imagenet64	cosine	hybrid			3.366802	28.799262	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_hybrid
imagenet64	cosine	vlb			3.357082	62.814386	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_cosine_vlb
imagenet64	geometric_linear	simple			10.759519	35.093241	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_simple
imagenet64	geometric_linear	hybrid			3.328986	34.554963	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_hybrid
imagenet64	geometric_linear	vlb			3.327054	45.332546	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_linear_vlb
imagenet64	geometric_cosine	simple			6.068291	39.101916	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_simple
imagenet64	geometric_cosine	hybrid			3.315868	40.381191	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_hybrid
imagenet64	geometric_cosine	vlb			3.310196	43.775487	10000	10000	4000	/project_gpfs/bata0/bjin0/imagenet64_evaluation_parallel_finished12_nll_fid_20260511_095000/imagenet64_geometric_cosine_vlb
imagenet64	tuned_nll	simple	1e-5	3e-3	6.839398	36.412715	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_nll	hybrid	1e-5	3e-3	3.303356	36.056280	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_nll	vlb	1e-5	3e-3	3.305856	48.582325	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_balanced	simple	3e-5	1e-3	11.951459	32.898845	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_balanced	hybrid	3e-5	1e-3	3.335386	34.177528	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_balanced	vlb	3e-5	1e-3	3.334938	46.293956	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_fid	simple	3e-3	1e-2	20.956137	34.641486	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_fid	hybrid	3e-3	1e-2	4.113825	33.538778	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
imagenet64	tuned_fid	vlb	3e-3	1e-2	4.098191	49.854653	10000	10000	4000	/project_gpfs/bata0/bjin0/tuned_geometric_evaluation_20260523_092433/results_summary.tsv
